user_id,n_relevant,n_novel_relevant,novel_hits,seen_hits,novel_recall,seed,model
user_000000_000370,11,3,0,5,0.0,73,svd_256
user_000000_000371,15,6,1,5,0.16666666666666666,73,svd_256
user_000000_000372,13,8,0,3,0.0,73,svd_256
user_000000_000373,13,9,2,2,0.2222222222222222,73,svd_256
user_000000_000374,15,4,0,2,0.0,73,svd_256
user_000000_000375,9,3,0,3,0.0,73,svd_256
user_000000_000376,13,9,2,2,0.2222222222222222,73,svd_256
user_000000_000377,15,6,1,6,0.16666666666666666,73,svd_256
user_000000_000378,13,5,0,3,0.0,73,svd_256
user_000000_000379,14,10,1,1,0.1,73,svd_256
user_000000_000380,14,10,0,3,0.0,73,svd_256
user_000000_000381,13,2,0,3,0.0,73,svd_256
user_000000_000382,10,7,1,2,0.14285714285714285,73,svd_256
user_000000_000383,8,2,0,4,0.0,73,svd_256
user_000000_000384,14,10,1,1,0.1,73,svd_256
user_000000_000385,14,12,1,1,0.08333333333333333,73,svd_256
user_000000_000386,10,6,0,3,0.0,73,svd_256
user_000000_000387,11,6,0,3,0.0,73,svd_256
user_000000_000388,14,7,0,5,0.0,73,svd_256
user_000000_000389,14,6,1,3,0.16666666666666666,73,svd_256
user_000000_000390,14,8,0,3,0.0,73,svd_256
user_000000_000391,14,7,0,2,0.0,73,svd_256
user_000000_000392,15,7,0,2,0.0,73,svd_256
user_000000_000393,15,9,1,2,0.1111111111111111,73,svd_256
user_000000_000394,13,6,0,4,0.0,73,svd_256
user_000000_000395,11,3,0,6,0.0,73,svd_256
user_000000_000396,12,5,0,4,0.0,73,svd_256
user_000000_000397,4,1,0,3,0.0,73,svd_256
user_000000_000398,11,5,0,4,0.0,73,svd_256
user_000000_000399,9,2,0,6,0.0,73,svd_256
user_000000_000400,15,13,1,0,0.07692307692307693,73,svd_256
user_000000_000401,11,8,0,2,0.0,73,svd_256
user_000000_000402,15,10,1,2,0.1,73,svd_256
user_000000_000403,12,3,1,4,0.3333333333333333,73,svd_256
user_000000_000404,9,3,0,5,0.0,73,svd_256
user_000000_000405,11,4,1,2,0.25,73,svd_256
user_000000_000406,11,8,2,2,0.25,73,svd_256
user_000000_000407,14,9,0,1,0.0,73,svd_256
user_000000_000408,12,4,0,6,0.0,73,svd_256
user_000000_000409,13,9,1,4,0.1111111111111111,73,svd_256
user_000000_000410,4,1,0,3,0.0,73,svd_256
user_000000_000411,2,0,0,2,,73,svd_256
user_000000_000412,14,8,1,2,0.125,73,svd_256
user_000000_000413,13,11,1,2,0.09090909090909091,73,svd_256
user_000000_000414,13,3,0,4,0.0,73,svd_256
user_000000_000415,14,10,1,2,0.1,73,svd_256
user_000000_000416,13,4,0,4,0.0,73,svd_256
user_000000_000417,12,4,2,1,0.5,73,svd_256
user_000000_000418,13,4,0,3,0.0,73,svd_256
user_000000_000419,14,7,0,3,0.0,73,svd_256
user_000000_000420,15,13,1,0,0.07692307692307693,73,svd_256
user_000000_000421,12,5,0,5,0.0,73,svd_256
user_000000_000422,11,4,0,5,0.0,73,svd_256
user_000000_000423,12,5,0,6,0.0,73,svd_256
user_000000_000424,11,5,0,4,0.0,73,svd_256
user_000000_000425,15,11,0,3,0.0,73,svd_256
user_000000_000426,10,5,0,3,0.0,73,svd_256
user_000000_000427,10,8,0,2,0.0,73,svd_256
user_000000_000428,13,8,0,4,0.0,73,svd_256
user_000000_000429,14,12,0,2,0.0,73,svd_256
user_000000_000430,9,5,0,3,0.0,73,svd_256
user_000000_000431,7,3,1,4,0.3333333333333333,73,svd_256
user_000000_000432,14,7,0,3,0.0,73,svd_256
user_000000_000433,7,0,0,7,,73,svd_256
user_000000_000434,10,6,1,2,0.16666666666666666,73,svd_256
user_000000_000435,13,9,0,1,0.0,73,svd_256
user_000000_000436,11,4,0,5,0.0,73,svd_256
user_000000_000437,15,10,1,1,0.1,73,svd_256
user_000000_000438,10,5,1,3,0.2,73,svd_256
user_000000_000439,8,3,0,5,0.0,73,svd_256
user_000000_000440,12,7,0,2,0.0,73,svd_256
user_000000_000441,12,7,2,2,0.2857142857142857,73,svd_256
